_id,OBJECTID,FLOC_ID,Building Description,Address,City,Ward Name,Former Municipality,District,City Cluster,Building Type,Building Status,Jurisdiction,Management,Owner,Gross Floor Area (M2),Gross Floor Area (FT2),Year Built,WARD,geometry
1084,1084,000516-B52,HIGH PARK - TRACKLESS TRAIN STORAGE BLDG (#57),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Park Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,334,3595,1981,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1085,1085,000516-B32,HIGH PARK - TTC BUS LOOP WASHROOM,1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,44,474,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1086,1086,000516-B15,HIGH PARK - WASHROOM & CHESS CLUBHOUSE (#1),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,186,2000,1913,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1087,1087,000516-B12,HIGH PARK - ANIMAL HOUSE (#25),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,80,856,1958,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1088,1088,001840-B04,ROUNDHOUSE COMPLEX - COAL SANDING TOWER,255 BREMNER BLVD,TORONTO,Spadina-Fort York,Toronto (Amal),South,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,117,1255,1895,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3853846893927, 43.6417279730724]]}"
1089,1089,001840-B03,ROUNDHOUSE COMPLEX - TOOL SHED,255 BREMNER BLVD,TORONTO,Spadina-Fort York,Toronto (Old),South,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,16,172,1890,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3853846893927, 43.6417279730724]]}"
1090,1090,001840-B08,ROUNDHOUSE COMPLEX - CROSSING SHANTY,255 BREMNER BLVD,TORONTO,Spadina-Fort York,Toronto (Amal),South,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,4,48,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3853846893927, 43.6417279730724]]}"
1091,1091,005943-B12,ROUNDHOUSE COMPLEX - WATER TOWER,255 BREMNER BLVD,TORONTO,Spadina-Fort York,Toronto (Amal),South,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,48,515,1895,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3853846893927, 43.6417279730724]]}"
1092,1092,001219-B03,ALEXANDRA PARK SOCIAL HOUSING CO-OP BUILDING #1-17,1 CARR STREET CRT (#1-17),TORONTO,Spadina-Fort York,None,South,Internal Services Group,Multi-Unit Residence,City Use,Facilities Management & Real Estate Services,Not-For-Profit Organization,City of Toronto,1010,10870,1974,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4016813166631, 43.6494064385128]]}"
1093,1093,001219-B04,ALEXANDRA PARK SOCIAL HOUSING CO-OP BUILDING #21-37,21 CARR STREET CRT (#21-37),TORONTO,Spadina-Fort York,None,South,Internal Services Group,Multi-Unit Residence,City Use,Facilities Management & Real Estate Services,Not-For-Profit Organization,City of Toronto,969,10430,1974,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4014113890385, 43.6491242653653]]}"
1094,1094,004934-B01,CASSANDRA PARK - PARKWAY SOUTH TENNIS CLUBHOUSE,230 CASSANDRA BLVD,TORONTO,Don Valley East,North York,North,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,111,1195,1983,16,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3191675650059, 43.7546852238845]]}"
1095,1095,000696-B01,CASSELS AVE PLAYGROUND - FIELDHOUSE,69 CASSELS AVE,TORONTO,Beaches-East York,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,17,180,1959,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3071440191367, 43.6794851193176]]}"
1096,1096,000587-B08,CENTRE ISLAND - CHIPPEWA HOUSE & WASHROOM - BLDG #68,6 CHIPPEWA AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,33,360,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3652713540089, 43.6207336173781]]}"
1097,1097,005099-B01,CHRISTIE SUBWAY STATION,5 CHRISTIE ST,TORONTO,University-Rosedale,Metro Toronto,South,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,11,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4183695883462, 43.6641161868004]]}"
1098,1098,004090-B01,CASTLEVIEW WYCHWOOD TOWERS,351 CHRISTIE ST,TORONTO,Toronto-St. Paul's,Metro Toronto,South,Citizen-Focused Services Group A,Long-Term Care Facility,City Use,Long-Term Care Homes & Services,Long-Term Care Homes & Services,City of Toronto,22873,246204,1974,12,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4211697542671, 43.6733808286229]]}"
1099,1099,002997-B01,CHURCH SUBSTATION,2 CHURCH AVE,TORONTO,Willowdale,Metro Toronto,North,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,18,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4137359269327, 43.7740653391116]]}"
1100,1100,000516-B42,HIGH PARK - YAK HOUSE (#50),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,28,300,1964,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1101,1101,000516-B49,HIGH PARK - ELK BLDG (#30),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,70,748,1958,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1102,1102,000516-B36,HIGH PARK - WASHROOM AT GRENADIER POND (#13),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,186,2000,1957,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1103,1103,000516-B47,HIGH PARK - REFRESHMENT BOOTH NO. 3 (#35),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Concession Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,80,864,1966,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1104,1104,001840-B02,ROUNDHOUSE COMPLEX,255 BREMNER BLVD,TORONTO,Spadina-Fort York,Toronto (Old),South,Internal Services Group,Commercial Building,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,8733,93997,1929,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3853846893927, 43.6417279730724]]}"
1105,1105,005886-B01,BRENTWOOD PUBLIC LIBRARY,36 BRENTWOOD RD N,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,1265,13615,1955,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.514307718848, 43.6474247846584]]}"
1106,1106,003793-B01,PORT UNION VILLAGE COMMON PARK - WASHROOM,105 BRIDGEND ST,TORONTO,Scarborough-Rouge Park,Toronto (Amal),East,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,70,750,2012,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1322402577345, 43.7786218293371]]}"
1107,1107,003793-B02,WATERFRONT PARK - PICNIC SHELTER,105 BRIDGEND ST,TORONTO,Scarborough-Rouge Park,Toronto (Amal),East,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,Toronto & Region Conservation Authority,"Parks, Forestry & Recreation",City of Toronto,47,501,,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1322402577345, 43.7786218293371]]}"
1108,1108,005495-B03,CASTLEFIELD YARD - TOOL SHED & GARAGE,1401 CASTLEFIELD AVE,YORK,Eglinton-Lawrence,York,North,Citizen-Focused Services Group B,Yard Service Building,City Use,Transportation Services,Transportation Services,City of Toronto,307,3300,2014,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4657062362864, 43.697568157989]]}"
1109,1109,005495-B01,CASTLEFIELD YARD - WOODEN WASTE STORAGE DEPOT,1401 CASTLEFIELD AVE,YORK,Eglinton-Lawrence,York,North,Citizen-Focused Services Group B,Yard Storage Building,City Use,Transportation Services,Transportation Services,City of Toronto,42,450,2009,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4657062362864, 43.697568157989]]}"
1110,1110,005495-B02,"CASTLEFIELD YARD - OFFICE, STORAGE & GARAGE",1401 CASTLEFIELD AVE,YORK,Eglinton-Lawrence,York,North,Citizen-Focused Services Group B,Garage & Office & Warehouse,City Use,Transportation Services,Transportation Services,City of Toronto,3386,36447,1954,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4657062362864, 43.697568157989]]}"
1111,1111,005495-B09,CASTLEFIELD YARD - WORKSHOP,1401 CASTLEFIELD AVE,YORK,Eglinton-Lawrence,York,North,Citizen-Focused Services Group B,Yard Workshop,City Use,Transportation Services,Transportation Services,City of Toronto,49,530,1995,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4657062362864, 43.697568157989]]}"
1112,1112,004712-B02,MITCHELL FIELD COMMUNITY CENTRE & ARENA,89 CHURCH AVE,TORONTO,Willowdale,North York,North,Citizen-Focused Services Group A,Arena & Community Rec Center,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,4687,50450,,18,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4085371036938, 43.7746444825285]]}"
1113,1113,001539-B02,PARKING AUTHORITY SITE - CARPARK NO. 43 (PROP A),2 CHURCH ST,TORONTO,Spadina-Fort York,Toronto (Old),South,"Agencies, Boards, and Commissions",Parking Structure- Multi-Level,Potentially Surplus,Toronto Parking Authority,Toronto Parking Authority,City of Toronto,,,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3730840401415, 43.646452642687]]}"
1114,1114,001539-B01,PARKING AUTHORITY SITE - CARPARK NO. 43 (PROP B),2 CHURCH ST,TORONTO,Spadina-Fort York,Toronto (Old),South,"Agencies, Boards, and Commissions",Parking Structure- Multi-Level,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,,,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3730840401415, 43.646452642687]]}"
1115,1115,000516-B37,HIGH PARK - AMPHITHEATRE & DREAM SITE STAGE,1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Theatre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,122,1318,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1116,1116,000516-B50,HIGH PARK - PICNIC SHELTER ACROSS POOL (#9),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,186,2000,1956,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1117,1117,000516-B26,HIGH PARK - SHEEP PEN BUILDING (#27),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,18,189,1958,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1118,1118,000516-B34,HIGH PARK - FOWL SHELTER BLDG (SERVICE YARD #23),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,40,432,1956,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1119,1119,003627-B02,BRIDLEWOOD JUNIOR SCHOOL - COMMUNITY CENTRE,60 BRIDLEWOOD BLVD,TORONTO,Scarborough-Agincourt,Scarborough,East,Other Organizations,School Building,City Use,Toronto District School Board,Toronto District School Board,Toronto District School Board,3007,32366,1963,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3150953883817, 43.7807962711677]]}"
1120,1120,003893-B01,BRIMLEY PARKS YARD - WORKSHOP,451 BRIMLEY RD,TORONTO,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group A,Yard Workshop,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,156,1679,1984,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2454025479712, 43.7315867225463]]}"
1121,1121,003893-B02,BRIMLEY PARKS YARD - OFFICE,451 BRIMLEY RD,TORONTO,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group A,Office Building - Small,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,261,2809,1979,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2454025479712, 43.7315867225463]]}"
1122,1122,003559-B02,KNOB HILL PARK - OUTDOOR POOL SERVICE BLDG & CHANGEROOM,625 BRIMLEY RD,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Outdoor Pool Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,42,452,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2502656322002, 43.7427924127771]]}"
1123,1123,005495-B05,CASTLEFIELD YARD - STORAGE BUILDING # 1,1401 CASTLEFIELD AVE,YORK,Eglinton-Lawrence,York,North,Citizen-Focused Services Group B,Yard Storage Building,City Use,Transportation Services,Transportation Services,City of Toronto,98,1060,1995,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4657062362864, 43.697568157989]]}"
1124,1124,005495-B06,CASTLEFIELD YARD - STORAGE BUILDING # 2,1401 CASTLEFIELD AVE,YORK,Eglinton-Lawrence,York,North,Citizen-Focused Services Group B,Yard Storage Building,City Use,Transportation Services,Transportation Services,City of Toronto,146,1570,1995,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4657062362864, 43.697568157989]]}"
1125,1125,005263-B01,BROADLANDS PARK COMMUNITY RECREATION CENTRE,19 CASTLEGROVE BLVD,TORONTO,Don Valley East,North York,North,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,929,10000,1964,16,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3227583603967, 43.7456714195373]]}"
1126,1126,006150-B01,OLD MILL SITE PARK - ROS FOSTER CLUBHOUSE,5 CATHERINE ST,YORK,Parkdale-High Park,York,South,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,50,538,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4903569692227, 43.6513250507816]]}"
1127,1127,004204-B01,EMS STATION NO. 32,9 CLENDENAN AVE,TORONTO,Parkdale-High Park,Metro Toronto,South,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,187,2014,1982,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4699135744778, 43.6530345198202]]}"
1128,1128,000911-B01,RAVINA GARDENS - PLAYGROUND FIELDHOUSE,290 CLENDENAN AVE,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,18,192,1962,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4715460796003, 43.6590608841165]]}"
1129,1129,001081-B01,MAURICE CODY COMMUNITY CENTRE,181 CLEVELAND ST,TORONTO,Don Valley West,Toronto (Old),North,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",Toronto District School Board,117,1255,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3783467187897, 43.704880659962]]}"
1130,1130,001562-B01,PARKING AUTHORITY SITE,72 CLINTON ST,TORONTO,University-Rosedale,Toronto (Old),South,"Agencies, Boards, and Commissions",Parking Garage - Below Grade,City Use,Toronto Parking Authority,Toronto Parking Authority,Toronto Community Housing Corporation,,,,11,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4149562549073, 43.6556894108891]]}"
1131,1131,000516-B39,HIGH PARK - BANDSTAND AT GRENADIER POND (#54),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Miscellaneous Facility,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,,,1983,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1132,1132,000516-B02,HIGH PARK - WASHROOM AT WEST RD (#12),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,56,603,1957,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1133,1133,000516-B46,HIGH PARK - LLAMA BUILDING (#29),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,13,144,1958,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1134,1134,000516-B56,HIGH PARK - PARK PUMP STATION & SERVICE YARD (#42),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Amal),South,Citizen-Focused Services Group A,Pumping Station - Above Ground,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,13,144,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1135,1135,003559-B03,KNOB HILL PARK - FIELDHOUSE,625 BRIMLEY RD,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,11,116,1966,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2502656322002, 43.7427924127771]]}"
1136,1136,003688-B11,THOMSON MEMORIAL PARK - PICNIC SHELTER D,1005 BRIMLEY RD,TORONTO,Scarborough Centre,Toronto (Amal),East,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,130,1400,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2559122655446, 43.7569587191488]]}"
1137,1137,003688-B02,THOMSON MEMORIAL PARK - MAINTENANCE SHOP & WASHROOM,1005 BRIMLEY RD,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,349,3757,1960,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2559122655446, 43.7569587191488]]}"
1138,1138,003688-B01,THOMSON MEMORIAL PARK - SOUTH CLUBHOUSE & WASHROOM,1005 BRIMLEY RD,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,351,3778,1850,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2559122655446, 43.7569587191488]]}"
1139,1139,005097-B01,ETIENNE BRULE PARK - WASHROOM,10 CATHERINE ST,TORONTO,Parkdale-High Park,Metro Toronto,South,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,42,452,1962,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4905623445754, 43.6520472109682]]}"
1140,1140,003254-B01,HARWOOD HALL COMMUNITY CENTRE,85 CAYUGA AVE,TORONTO,York South-Weston,York,West,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,399,4292,1953,5,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4787702397525, 43.678384587882]]}"
1141,1141,000702-B01,CECIL STREET COMMUNITY CENTRE,58 CECIL ST,TORONTO,University-Rosedale,Toronto (Old),South,Internal Services Group,Community Recreation Centre,City Use,"Social Development, Finance & Administration",Board of Management - Community Centres,City of Toronto,533,5736,1900,11,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3985912012751, 43.6564590563559]]}"
1142,1142,005411-B01,EMS STATION NO. 46,105 CEDARVALE AVE,EAST YORK,Beaches-East York,Metro Toronto,South,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,230,2478,1985,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3107117753867, 43.6870891761131]]}"
1143,1143,000700-B01,THE 519 CHURCH STREET COMMUNITY CENTRE,519 CHURCH ST,TORONTO,Toronto Centre,Toronto (Old),South,Internal Services Group,Community Recreation Centre,City Use,Toronto Shelter & Support Services,Board of Management - Community Centres,City of Toronto,2625,28255,1975,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3809426167157, 43.6665519590237]]}"
1144,1144,005817-B01,TTC PROPERTY - SERVICE GARAGE,830 CHURCH ST,TORONTO,University-Rosedale,Metro Toronto,South,"Agencies, Boards, and Commissions",TTC Carhouse/Depot,City Use,Toronto Transit Commission,Toronto Transit Commission,Toronto Transit Commission,316,3401,1959,11,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3859472832667, 43.672058423053]]}"
1145,1145,000587-B01,WARD'S ISLAND - FERRY DOCK WAITING HOUSE,1 CIBOLA AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,22,240,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.377275498391, 43.6152151997647]]}"
1146,1146,000587-B07,WARD'S ISLAND - SEWAGE PUMPING STATION #13,235 CIBOLA AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,7,75,1995,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3590745052274, 43.6254007460108]]}"
1147,1147,000516-B25,HIGH PARK - GOAT PEN BUILDING (#26),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,18,192,1958,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1148,1148,000516-B54,HIGH PARK - REFRESHMENT BOOTH NEAR RESTAURANT,1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Concession Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,25,265,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1149,1149,000516-B01,HIGH PARK - GRENADIER RESTAURANT (#11),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Retail Services Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,779,8385,1958,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1150,1150,000516-B03,HIGH PARK - WASHROOM AT COLBORNE LODGE DR (#17),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,56,603,1957,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1151,1151,003688-B10,THOMSON MEMORIAL PARK - PICNIC SHELTER C,1005 BRIMLEY RD,TORONTO,Scarborough Centre,Toronto (Amal),East,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,130,1400,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2559122655446, 43.7569587191488]]}"
1152,1152,003688-B09,THOMSON MEMORIAL PARK - PICNIC SHELTER B,1005 BRIMLEY RD,TORONTO,Scarborough Centre,Toronto (Amal),East,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,130,1400,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2559122655446, 43.7569587191488]]}"
1153,1153,003688-B08,THOMSON MEMORIAL PARK - PICNIC SHELTER A,1005 BRIMLEY RD,TORONTO,Scarborough Centre,Toronto (Amal),East,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,130,1400,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2559122655446, 43.7569587191488]]}"
1154,1154,003688-B03,SCARBOROUGH HISTORICAL MUSEUM - HOUGH CARRIAGE WORKS,1007 BRIMLEY RD,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,30,320,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2548099735304, 43.7576244730467]]}"
